date,home_team,score,away_team
26-12-2024,,1 - 0,Nott'm Forest
21-12-2024,,0 - 2,Brentford
14-12-2024,,2 - 1,Nott'm Forest
07-12-2024,,2 - 3,Man United
04-12-2024,,3 - 0,Man City
30-11-2024,,1 - 0,Nott'm Forest
23-11-2024,,3 - 0,Arsenal
10-11-2024,,1 - 3,Nott'm Forest
02-11-2024,,3 - 0,Nott'm Forest
25-10-2024,,1 - 3,Leicester
21-10-2024,,1 - 0,Nott'm Forest
06-10-2024,,1 - 1,Chelsea
28-09-2024,,0 - 1,Nott'm Forest
22-09-2024,,2 - 2,Brighton
14-09-2024,,0 - 1,Liverpool
31-08-2024,,1 - 1,Nott'm Forest
24-08-2024,,0 - 1,Southampton
17-08-2024,,1 - 1,Nott'm Forest
25-05-2025,,1 - 2,Southampton
18-05-2025,,2 - 0,Everton
10-05-2025,,0 - 0,Southampton
03-05-2025,,2 - 0,Leicester
26-04-2025,,1 - 2,Southampton
19-04-2025,,1 - 1,West Ham
12-04-2025,,0 - 3,Southampton
06-04-2025,,3 - 1,Tottenham
02-04-2025,,1 - 1,Southampton
15-03-2025,,1 - 2,Southampton
08-03-2025,,3 - 1,Liverpool
25-02-2025,,4 - 0,Chelsea
22-02-2025,,0 - 4,Southampton
15-02-2025,,1 - 3,Southampton
01-02-2025,,1 - 2,Ipswich
25-01-2025,,1 - 3,Southampton
19-01-2025,,3 - 2,Nott'm Forest
16-01-2025,,3 - 1,Man United
04-01-2025,,0 - 5,Southampton
29-12-2024,,2 - 1,Crystal Palace
26-12-2024,,0 - 1,Southampton
22-12-2024,,0 - 0,Fulham
15-12-2024,,0 - 5,Southampton
07-12-2024,,1 - 0,Aston Villa
04-12-2024,,1 - 5,Southampton
29-11-2024,,1 - 1,Brighton
24-11-2024,,2 - 3,Southampton
09-11-2024,,2 - 0,Wolves
02-11-2024,,1 - 0,Southampton
26-10-2024,,1 - 0,Man City
19-10-2024,,2 - 3,Southampton
05-10-2024,,3 - 1,Arsenal
30-09-2024,,3 - 1,Bournemouth
21-09-2024,,1 - 1,Southampton
14-09-2024,,0 - 3,Southampton
31-08-2024,,3 - 1,Brentford
24-08-2024,,0 - 1,Southampton
17-08-2024,,1 - 0,Newcastle
25-05-2025,,1 - 4,Tottenham
16-05-2025,,2 - 0,Aston Villa
11-05-2025,,0 - 2,Tottenham
04-05-2025,,1 - 1,West Ham
27-04-2025,,5 - 1,Liverpool
21-04-2025,,1 - 2,Tottenham
13-04-2025,,4 - 2,Wolves
06-04-2025,,3 - 1,Tottenham
03-04-2025,,1 - 0,Chelsea
16-03-2025,,2 - 0,Fulham
09-03-2025,,2 - 2,Tottenham
26-02-2025,,0 - 1,Tottenham
22-02-2025,,1 - 4,Ipswich
16-02-2025,,1 - 0,Tottenham
02-02-2025,,0 - 2,Brentford
26-01-2025,,1 - 2,Tottenham
19-01-2025,,3 - 2,Everton
15-01-2025,,2 - 1,Arsenal
04-01-2025,,1 - 2,Tottenham
29-12-2024,,2 - 2,Tottenham
26-12-2024,,1 - 0,Nott'm Forest
22-12-2024,,3 - 6,Tottenham
15-12-2024,,0 - 5,Southampton
08-12-2024,,3 - 4,Tottenham
05-12-2024,,1 - 0,Bournemouth
01-12-2024,,1 - 1,Tottenham
23-11-2024,,0 - 4,Man City
10-11-2024,,1 - 2,Tottenham
03-11-2024,,4 - 1,Tottenham
27-10-2024,,1 - 0,Crystal Palace
19-10-2024,,4 - 1,Tottenham
06-10-2024,,3 - 2,Brighton
29-09-2024,,0 - 3,Man United
21-09-2024,,3 - 1,Tottenham
15-09-2024,,0 - 1,Tottenham
01-09-2024,,2 - 1,Newcastle
24-08-2024,,4 - 0,Tottenham
19-08-2024,,1 - 1,Leicester
25-05-2025,,1 - 3,Ipswich
18-05-2025,,1 - 2,West Ham
11-05-2025,,0 - 2,Man United
04-05-2025,,1 - 1,West Ham
26-04-2025,,3 - 2,Brighton
19-04-2025,,1 - 1,West Ham
13-04-2025,,2 - 1,Liverpool
05-04-2025,,2 - 2,West Ham
01-04-2025,,1 - 0,Wolves
15-03-2025,,1 - 1,Everton
10-03-2025,,0 - 1,West Ham
27-02-2025,,2 - 0,West Ham
22-02-2025,,0 - 1,Arsenal
15-02-2025,,0 - 1,West Ham
03-02-2025,,2 - 1,Chelsea
26-01-2025,,1 - 1,Aston Villa
18-01-2025,,0 - 2,West Ham
14-01-2025,,3 - 2,West Ham
04-01-2025,,4 - 1,Man City
29-12-2024,,0 - 5,West Ham
26-12-2024,,0 - 1,Southampton
21-12-2024,,1 - 1,West Ham
